seller_id,total_orders,late_orders,late_delivery_rate_percent
bd4ff04377f974574f7f0bf9d6ce7dde,4,1,25.00
beadbee30901a7f61d031b6b686095ad,64,16,25.00
b98b715fe9e276204e2a3464f48cd796,4,1,25.00
c8660dcf9ba70575f45d80fe28c27713,4,1,25.00
8d899e15a5925f097cca50faa49b15e3,4,1,25.00
9485a23c0430ba1d58d359391606fce6,4,1,25.00
9853a239ab7b7ebbdc3a21248d5b8e1f,4,1,25.00
6bd503a8230299c9316fb0f726933927,4,1,25.00
72146da5774cabf2632faedcae097a76,4,1,25.00
7a91bf945c6fae0779f1c61ce97fe45c,4,1,25.00
74636e24f01da9268b0ed88dacd8513e,4,1,25.00
5b0cc932433fa5184b5b94bfe6bcc256,12,3,25.00
579891617139df7d8671d373f0669622,8,2,25.00
52a50b42accf164f9f019941e5759d9b,4,1,25.00
32f1bb9dfa65bc7df5c0d9d95a616be4,4,1,25.00
4dc646b9b9e8e411ef48ba000ea3ac6f,4,1,25.00
4deebb3199eeafb282ae33229144f94b,4,1,25.00
4170f6a9367e6b5d6401d03ce6d54569,4,1,25.00
4091f77d8c768fc3e81c20761471761d,8,2,25.00
2b5ed0c9139dae8883a200dfcb272ece,4,1,25.00
1dfe5347016252a7884b694d4f10f5c4,20,5,25.00
1d1bbb8ac1581824986f582583fff01d,4,1,25.00
1d2732ef8321502ee8488e8bed1ab8cd,4,1,25.00
1976a05ecf2996d6ffb7b5430e635fe7,8,2,25.00
0692610d8abe24f287e9fae90ea0bbee,4,1,25.00
09883d9ab71c8fe8a9bfc7fc3075b07e,4,1,25.00
0aea4c6ae1505b3228ddf3dd7822ee5b,8,2,25.00
08061dc0fc165ed41288cc7acde738ee,4,1,25.00
081acf3de680d554796c9cf041be7bc2,4,1,25.00
0f0c984a4a955310903b6b6008660bad,4,1,25.00
0d83f8e03188682112cc0d93523705cc,4,1,25.00
cac4c8e7b1ca6252d8f20b2fc1a2e4af,74,18,24.32
53d00c40e32aeb924a84ce72b1af869d,17,4,23.53
5bc55dbe2f12b6af6d83ed46023e0dc8,17,4,23.53
06a2c3af7b3aee5d69171b0e14f0ee87,389,91,23.39
1ca7077d890b907f89be8c954a02686a,108,25,23.15
5abb8ea023c77787f2c15da891c8d384,13,3,23.08
36890be00bbfc1cdb9a4a38a6af05a69,13,3,23.08
602044f2c16190c2c6e45eb35c2e21cb,48,11,22.92
71039d19d4303bf9054d69e9a9236699,35,8,22.86
99a54764c341d5dc80b4a8fac4eba3fb,44,10,22.73
9449f25aeaf531019b76999ea49a6949,9,2,22.22
85cc55e048b6bcc90c75afe7f0e72f72,9,2,22.22
c878515173c84a492ebe50d6b493230b,9,2,22.22
c7fdb77fdbff3c41981bc52f787e959e,9,2,22.22
6039e27294dc75811c0d8a39069f52c0,63,14,22.22
5ee7fd217d08dfe5d3e2f51f96a12c9a,9,2,22.22
5eeb9c756d9780b96283e5a2ac6da334,9,2,22.22
2dcf93836ae3ce0d7c93e2f10876467a,9,2,22.22
e1b12447a7563944843191754aeb5562,9,2,22.22
f35b3c613c4f7b2275f4185d0a3c59ec,9,2,22.22
712e6ed8aa4aa1fa65dab41fed5737e4,77,17,22.08
ea566164622c6b439516ab18062c42cd,50,11,22.00
88460e8ebdecbfecb5f9601833981930,246,53,21.54
ca4b77513ac2040591b0d8fae6958380,14,3,21.43
bce6a5ecf98e99fd2a8868b15c51f04b,14,3,21.43
28f10b1c5e5abb9d4857745bede6147c,28,6,21.43
2953ce3a88f5e3c3b696d77fc9e4c8eb,14,3,21.43
d13e50eaa47b4cbe9eb81465865d8cfc,66,14,21.21
e5a3438891c0bfdb9394643f95273d8e,216,45,20.83
c60b801f2d52c7f7f91de00870882a75,39,8,20.51
0bf0150d5b9d60d9cd2906003332f085,39,8,20.51
167fd940acebc789debd6eb418c46e38,5,1,20.00
039e6ad9dae79614493083e241147386,5,1,20.00
2709af9587499e95e803a6498a5a56e9,25,5,20.00
282c7480173bb9c01dd41cc739fec010,5,1,20.00
2aa3443d7bf9d9bb11133f420d75e083,10,2,20.00
1a932caad4f9d804097d7f8e615baed1,20,4,20.00
180c3376aff0e43dd5788709df48a843,5,1,20.00
615005a3ef192c00c6f0e977cee3d2bc,10,2,20.00
56e361f411e38dcef17cdc2a3d99628b,5,1,20.00
5236605f4d4b0b3e4df85b850393fca0,5,1,20.00
3903c788ded8dc03b5ebab37a2f3e9a1,5,1,20.00
3fac58ce0ad699020c7944d53c41329c,10,2,20.00
3fd1e727ba94cfe122d165e176ce7967,35,7,20.00
46ef1a25845fc051c2998d878354810c,5,1,20.00
4b1eaadf791bdbbad8c4a35b65236d52,5,1,20.00
bdb3edbaee43a761e2d4f258dc08f348,5,1,20.00
be8e909810184b9b19e886129149d8e5,15,3,20.00
bca9230d3bbb4efa51872bf605a2f1ad,5,1,20.00
cf1313c6e2c01c2f4b014f97db4bcd2b,5,1,20.00
b4b447d715f9ab302a188fb43d3e96b3,5,1,20.00
b566ab0ef88016e00422755e305103c6,5,1,20.00
9cad4b68bb993ee401a3c5aaa2bc26dd,5,1,20.00
9d489893ff6af05029671b785f54b998,5,1,20.00
a13580f0e8f782b7a543885a0ef99f08,10,2,20.00
a066df7361163e7ddc5d7452dd17448b,15,3,20.00
8b655f0855926bcb49f5835d38dfddf6,5,1,20.00
851773c885feb5e2da3b4f82bc2b17ce,10,2,20.00
83353a83fd769dfafa4f21a72b15e3e5,5,1,20.00
81336a0f57a33776419727a300249e90,15,3,20.00
8e34331b7eedd03be4e5d965c1956225,5,1,20.00
921323538c9f1c4e816f2720eac02bea,15,3,20.00
717b78b0950b51ed00b1471d858b0edc,5,1,20.00
6bd69102ab48df500790a8cecfc285c2,5,1,20.00
6861de0f40cacb0602e473c51639f980,5,1,20.00
6ec1a01e866584bb679eb9b098345919,30,6,20.00
741f8c587cb4248ebc5b779a0e8e0e51,5,1,20.00
7b7ed56ae755e2880f2b69632e839c1e,5,1,20.00
7b8e8ec35bad4b0ef7e3963650b0a87b,5,1,20.00
e819bcfade7b5d88a27325eb6cfd62c5,5,1,20.00
d5c530f4884a75ae0dba9c148718d278,5,1,20.00
d79e8478eed9999493990b44955fb22e,5,1,20.00
f44bdc12aa39f5271f0b95f66cd4c289,5,1,20.00
f783a638e9c6af4a7d0dbfde811e7a81,5,1,20.00
f8201cab383e484733266d1906e2fdfa,10,2,20.00
f918546be4bec7104d117789ba758b2b,20,4,20.00
f92d8c817434bd2d84d4e9c61322b7fa,5,1,20.00
2a261b5b644fa05f4f2700eb93544f2c,51,10,19.61
e0878efa0e0b7e5313ac0b43bc04c081,26,5,19.23
e99e927c81e3f51739c94fcdfca9f10f,21,4,19.05
8160255418d5aaa7dbdc9f4c64ebda44,380,72,18.95
89bc797e2e29667aa035d4368f9b7f92,16,3,18.75
