seller_key,total_orders_shipped,avg_shipping_delay_days,late_dispatched_orders
1745,2,2.5,1
1490,2,2.5,1
41,2,2.5,1
34,16,2.5,5
1139,2,2.5,1
634,6,2.5,1
2988,2,2.5,1
528,126,2.45238095238095,19
1165,9,2.44444444444444,2
2547,98,2.40816326530612,14
61,65,2.38461538461538,7
2914,16,2.375,2
1526,19,2.36842105263158,2
275,11,2.36363636363636,1
3029,11,2.36363636363636,2
2488,12,2.33333333333333,2
1021,9,2.33333333333333,3
961,12,2.33333333333333,1
1764,3,2.33333333333333,1
1481,6,2.33333333333333,1
335,37,2.32432432432432,4
2415,16,2.3125,2
2863,16,2.3125,2
2677,35,2.28571428571429,6
2161,7,2.28571428571429,1
2188,16,2.25,2
2040,76,2.25,3
282,4,2.25,2
376,18,2.22222222222222,1
219,14,2.21428571428571,3
1602,28,2.21428571428571,8
43,5,2.2,1
915,26,2.19230769230769,3
1707,144,2.1875,16
2183,11,2.18181818181818,2
2253,11,2.18181818181818,1
154,39,2.17948717948718,6
514,6,2.16666666666667,1
1235,13,2.15384615384615,2
2075,50,2.1,8
2380,11,2.09090909090909,1
887,29,2.06896551724138,4
685,15,2.06666666666667,4
2699,23,2.04347826086957,1
2540,1,2,1
2850,6,2,1
2978,3,2,1
681,11,2,2
965,6,2,1
1038,2,2,1
507,7,2,1
498,18,2,4
391,11,2,2
232,1,2,1
246,1,2,1
102,4,2,1
1922,6,2,1
1725,11,2,1
1617,7,2,1
1643,2,2,1
1533,2,2,1
2005,98,1.97959183673469,21
1296,127,1.96850393700787,10
2807,24,1.95833333333333,3
1390,22,1.95454545454545,3
3086,20,1.95,4
242,38,1.94736842105263,4
2177,93,1.93548387096774,13
2281,12,1.91666666666667,2
2852,87,1.89655172413793,3
1563,98,1.87755102040816,6
2098,89,1.84269662921348,12
3071,6,1.83333333333333,1
1775,47,1.82978723404255,5
2767,245,1.81632653061224,39
589,30,1.8,4
3093,14,1.78571428571429,2
2435,9,1.77777777777778,2
1181,64,1.765625,11
671,20,1.75,2
256,8,1.75,1
346,4,1.75,1
534,8,1.75,1
1868,12,1.75,2
2233,8,1.75,1
1591,415,1.74698795180723,60
1258,31,1.74193548387097,6
1487,33,1.72727272727273,3
